date,year,month,month_name,day,date_key
2017-10-02,2017,10,October,2,0
2018-07-24,2018,7,July,24,1
2018-08-08,2018,8,August,8,2
2017-11-18,2017,11,November,18,3
2018-02-13,2018,2,February,13,4
2017-07-09,2017,7,July,9,5
2017-04-11,2017,4,April,11,6
2017-05-16,2017,5,May,16,7
2017-01-23,2017,1,January,23,8
2017-07-29,2017,7,July,29,9
2017-07-13,2017,7,July,13,10
2018-06-07,2018,6,June,7,11
2018-07-25,2018,7,July,25,12
2018-03-01,2018,3,March,1,13
2018-01-02,2018,1,January,2,14
2017-12-26,2017,12,December,26,15
2017-11-21,2017,11,November,21,16
2017-10-26,2017,10,October,26,17
2017-09-18,2017,9,September,18,18
2018-03-15,2018,3,March,15,19
2018-02-03,2018,2,February,3,20
2018-01-08,2018,1,January,8,21
2018-08-09,2018,8,August,9,22
2018-02-20,2018,2,February,20,23
2018-06-04,2018,6,June,4,24
2018-03-12,2018,3,March,12,25
2018-05-02,2018,5,May,2,26
2018-02-25,2018,2,February,25,27
2017-08-10,2017,8,August,10,28
2018-04-16,2018,4,April,16,29
2017-12-12,2017,12,December,12,30
2018-07-29,2018,7,July,29,31
2018-02-17,2018,2,February,17,32
2018-02-21,2018,2,February,21,33
2017-07-31,2017,7,July,31,34
2018-06-01,2018,6,June,1,35
2018-03-26,2018,3,March,26,36
2017-05-19,2017,5,May,19,37
2017-11-24,2017,11,November,24,38
2017-08-04,2017,8,August,4,39
2018-08-04,2018,8,August,4,40
2017-05-18,2017,5,May,18,41
2017-05-14,2017,5,May,14,42
2018-05-17,2018,5,May,17,43
2017-08-09,2017,8,August,9,44
2018-02-01,2018,2,February,1,45
2018-06-26,2018,6,June,26,46
2018-07-26,2018,7,July,26,47
2017-12-15,2017,12,December,15,48
2017-08-31,2017,8,August,31,49
2018-06-11,2018,6,June,11,50
2018-03-09,2018,3,March,9,51
2017-03-13,2017,3,March,13,52
2017-06-13,2017,6,June,13,53
2017-11-30,2017,11,November,30,54
2018-08-05,2018,8,August,5,55
2017-11-15,2017,11,November,15,56
2018-02-19,2018,2,February,19,57
2018-04-22,2018,4,April,22,58
2018-01-07,2018,1,January,7,59
2018-02-10,2018,2,February,10,60
2018-06-18,2018,6,June,18,61
2018-06-13,2018,6,June,13,62
2018-07-15,2018,7,July,15,63
2017-09-13,2017,9,September,13,64
2018-04-13,2018,4,April,13,65
2018-02-15,2018,2,February,15,66
2017-02-20,2017,2,February,20,67
2017-04-20,2017,4,April,20,68
2017-09-15,2017,9,September,15,69
2018-07-28,2018,7,July,28,70
2018-08-26,2018,8,August,26,71
2017-07-30,2017,7,July,30,72
2017-12-22,2017,12,December,22,73
2017-04-06,2017,4,April,6,74
2017-05-09,2017,5,May,9,75
2017-10-16,2017,10,October,16,76
2017-12-08,2017,12,December,8,77
2017-08-26,2017,8,August,26,78
2018-02-27,2018,2,February,27,79
2018-05-11,2018,5,May,11,80
2018-01-22,2018,1,January,22,81
2018-05-01,2018,5,May,1,82
2017-09-19,2017,9,September,19,83
2018-04-11,2018,4,April,11,84
2017-12-20,2017,12,December,20,85
2018-08-03,2018,8,August,3,86
2018-05-14,2018,5,May,14,87
2017-11-22,2017,11,November,22,88
2017-03-30,2017,3,March,30,89
2018-06-05,2018,6,June,5,90
2017-05-17,2017,5,May,17,91
2018-07-30,2018,7,July,30,92
2018-02-06,2018,2,February,6,93
2017-01-28,2017,1,January,28,94
2018-01-27,2018,1,January,27,95
2017-07-01,2017,7,July,1,96
2017-09-27,2017,9,September,27,97
2017-11-28,2017,11,November,28,98
2018-08-22,2018,8,August,22,99
2018-07-06,2018,7,July,6,100
2018-05-09,2018,5,May,9,101
2017-11-26,2017,11,November,26,102
2017-09-29,2017,9,September,29,103
2017-06-27,2017,6,June,27,104
2018-01-23,2018,1,January,23,105
2018-08-20,2018,8,August,20,106
2018-01-30,2018,1,January,30,107
2018-03-31,2018,3,March,31,108
2018-03-07,2018,3,March,7,109
2018-05-08,2018,5,May,8,110
2018-04-25,2018,4,April,25,111
2017-07-16,2017,7,July,16,112
2017-09-03,2017,9,September,3,113
2017-10-19,2017,10,October,19,114
2018-07-22,2018,7,July,22,115
2017-12-02,2017,12,December,2,116
2018-01-09,2018,1,January,9,117
2018-07-18,2018,7,July,18,118
2017-03-28,2017,3,March,28,119
2018-06-08,2018,6,June,8,120
2017-07-10,2017,7,July,10,121
2018-05-16,2018,5,May,16,122
2018-07-05,2018,7,July,5,123
2017-09-20,2017,9,September,20,124
2018-01-10,2018,1,January,10,125
2017-04-26,2017,4,April,26,126
2017-11-27,2017,11,November,27,127
2018-05-25,2018,5,May,25,128
2017-11-17,2017,11,November,17,129
2018-07-23,2018,7,July,23,130
2018-02-14,2018,2,February,14,131
2017-04-30,2017,4,April,30,132
2017-05-15,2017,5,May,15,133
2017-07-22,2017,7,July,22,134
2018-06-24,2018,6,June,24,135
2018-07-02,2018,7,July,2,136
2017-03-06,2017,3,March,6,137
2017-10-04,2017,10,October,4,138
2017-12-21,2017,12,December,21,139
2018-02-02,2018,2,February,2,140
2018-04-26,2018,4,April,26,141
2018-05-30,2018,5,May,30,142
2018-03-29,2018,3,March,29,143
2018-06-25,2018,6,June,25,144
2017-09-11,2017,9,September,11,145
2018-04-15,2018,4,April,15,146
2018-01-13,2018,1,January,13,147
